"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.233299053E2,3.512735809E1,1.368867285E2,-1.303563115E1,2.557365911E1,6.091999817E1,1.655860332E2,5.448319364E0,1.658178701E1,8.000000000E0,-1.000000000E0
1.243299059E2,3.512686836E1,1.368869357E2,-1.207063063E1,2.653909288E1,5.811000061E1,1.624219858E2,5.511377738E0,1.629701421E1,8.000000000E0,-1.000000000E0
1.253299065E2,3.512631324E1,1.368870775E2,-1.154401845E1,2.706597807E1,5.820000076E1,1.645313480E2,5.573710913E0,1.636090827E1,8.000000000E0,-1.000000000E0
1.263299065E2,3.512577571E1,1.368872720E2,-1.150415439E1,2.710623964E1,5.908000183E1,1.634766686E2,5.634653406E0,1.655255690E1,8.000000000E0,-1.000000000E0
1.273299057E2,3.512524654E1,1.368874465E2,-1.195593987E1,2.665480520E1,5.872999954E1,1.631251076E2,5.700309645E0,1.658384403E1,8.000000000E0,-1.000000000E0
1.283299068E2,3.512468764E1,1.368876793E2,-1.209125158E1,2.651997710E1,5.908000183E1,1.617188670E2,5.766816291E0,1.679958642E1,8.000000000E0,-1.000000000E0
1.293299063E2,3.512413153E1,1.368879485E2,-1.202757053E1,2.658422604E1,6.134000015E1,1.606641907E2,5.839695395E0,1.695732327E1,8.000000000E0,-1.000000000E0
1.303299065E2,3.512352531E1,1.368882531E2,-1.103218312E1,2.758025755E1,6.399000168E1,1.592579555E2,5.899265857E0,1.676297090E1,8.000000000E0,-1.000000000E0
1.313299075E2,3.512307465E1,1.368886073E2,-1.009104717E1,2.852216895E1,6.134000015E1,1.560939069E2,5.964517265E0,1.668753076E1,8.000000000E0,-1.000000000E0
1.323299072E2,3.512257248E1,1.368889785E2,-1.153270393E1,2.708132081E1,6.068000030E1,1.536329826E2,6.021007282E0,1.545520262E1,8.096761414E0,-1.000000000E0
1.333299073E2,3.512212250E1,1.368892668E2,-1.170429455E1,2.691035091E1,5.845999908E1,1.529298554E2,6.084199452E0,1.546601217E1,8.076094400E0,-1.000000000E0
1.343299080E2,3.512163763E1,1.368896292E2,-1.022718029E1,2.838825346E1,5.872999954E1,1.508204932E2,6.142915929E0,1.527785834E1,8.426617220E0,-1.000000000E0
1.353299010E2,3.512117560E1,1.368899418E2,-7.487130870E0,3.112897709E1,5.852999878E1,1.504689321E2,6.201275570E0,1.530888030E1,8.370126471E0,-1.000000000E0
1.363299097E2,3.512078100E1,1.368903649E2,-7.989511290E0,3.062753431E1,5.852999878E1,1.476564476E2,6.263572262E0,1.525416077E1,8.469439914E0,-1.000000000E0
1.373299173E2,3.512030231E1,1.368907207E2,2.714780140E0,4.133259692E1,5.847623434E1,1.463985646E2,6.323235788E0,1.458669974E1,9.573349670E0,-1.000000000E0
