種類,メーカー,シリーズ,記号,シリーズ,容量（GB）,型番,価格,確認日,備考,AmazonのURL,読出速度（MB/s）,書込速度（MB/s）,スピードクラス,接続,幅（mm）,奥行き（mm）,高さ（mm）,重量（g）,保証（年）,ケーブル,品名
type,maker,series,prefix,series,storage,model,price,date,remarks,url,speed_read,speed_write,speed_class,usb,width,depth,height,weight,warranty,cable,name
HDD,アイオーデータ,,IO,HDPT-UTS,2000,HDPT-UTS2K/E,9283,2020-05-07,,https://www.amazon.co.jp/dp/B07VB6LKTH,,,,USB3.1 (gen1),75,112,14,160,,,
HDD,アイオーデータ,,IO,HDPT-UTS,1000,HDPT-UTS1K/E,7480,2020-05-07,,https://www.amazon.co.jp/dp/B07VDC3K3W,,,,USB3.1 (gen1),75,112,14,160,,,
HDD,アイオーデータ,,IO,HDPD-SUTB,2000,HDPD-SUTB2,14155,2020-05-07,,https://www.amazon.co.jp/dp/B01N64D50L,,,,USB3.1 (gen1),84,120,19,358,,,
HDD,アイオーデータ,,IO,HDPD-SUTB,1000,HDPD-SUTB1,9627,2020-05-07,,https://www.amazon.co.jp/dp/B01N1FVFJP,,,,USB3.1 (gen1),84,120,19,358,,,
HDD,アイオーデータ,,IO,HDPD-SUTB,500,HDPD-SUTB500,8145,2020-05-07,,https://www.amazon.co.jp/dp/B01N1FVEAU,,,,USB3.1 (gen1),84,120,19,358,,,
SSD,アイオーデータ,,IO,SSPH-UA,480,SSPH-UA480NV/E,7485,2020-05-07,,https://www.amazon.co.jp/dp/B07VDD6BX5,440,430,,USB3.2 (gen1),80,80,15,61,1,USB-A,
SSD,アイオーデータ,,IO,SSPH-UA,960,SSPH-UA960NV/E,12481,2020-05-07,,https://www.amazon.co.jp/dp/B07VHP9SCF,440,430,,USB3.2 (gen1),80,80,15,61,1,USB-A,
SSD,アイオーデータ,,IO,SSPX-GC,256,SSPX-GC256G,8236,2020-05-07,,https://www.amazon.co.jp/dp/B07ZCRPBZ2,440,430,,USB3.2 (gen1),75,114,8.6,75,1,USB-A,
SSD,アイオーデータ,,IO,SSPX-GC,512,SSPX-GC512G,13236,2020-05-07,,https://www.amazon.co.jp/dp/B07ZCRPHFV,440,430,,USB3.2 (gen1),75,114,8.6,75,1,USB-A,
SSD,アイオーデータ,,IO,SSPX-GC,1000,SSPX-GC1T,24381,2020-05-07,,https://www.amazon.co.jp/dp/B081KR79Y4,440,430,,USB3.2 (gen1),75,114,8.6,75,1,USB-A,
SSD,アイオーデータ,,IO,SSPG-USC,500,SSPG-USC500NV/E,7980,2020-05-07,,https://www.amazon.co.jp/dp/B081QF7K67,530,490,,USB3.2 (gen2),58,88,13,42,1,USB-A/USB-C,
SSD,アイオーデータ,,IO,SSPG-USC,1000,SSPG-USC1NV/E,22000,2020-05-07,,https://www.amazon.co.jp/dp/B081QF5RJV,530,490,,USB3.2 (gen2),58,88,13,42,1,USB-A/USB-C,
SSD,アイオーデータ,,IO,SSPG-USC,2000,SSPG-USC2NV/E,27035,2020-05-07,,https://www.amazon.co.jp/dp/B081QG42GT,530,490,,USB3.2 (gen2),58,88,13,42,1,USB-A/USB-C,
HDD,エレコム,,EL,HDPT-UT,1000,ELP-QEN010UBK,12160,2020-05-07,,https://www.amazon.co.jp/dp/B07116L7FN,,,,,79.4,117,21,399,1,,
HDD,エレコム,,EL,HDPT-UT,2000,ELP-QEN020UBK,13900,2020-05-07,,https://www.amazon.co.jp/dp/B0727QVL2N,,,,,79.4,117,21,399,1,,
HDD,エレコム,,EL,ZS,1000,ELP-ZS010UBK,8800,2020-05-07,,https://www.amazon.co.jp/dp/B01I1HI4GK,,,,,100,130,23,200,1,,
HDD,エレコム,,EL,ZS,500,ELP-ZS005UBK,7700,2020-05-07,,https://www.amazon.co.jp/dp/B01I1HI8CU,,,,,100,130,23,200,1,,
SSD,エレコム,,EL,EF,250,ESD-EF0250GBK,6492,2020-05-07,,https://www.amazon.co.jp/dp/B07X3HQLCN,430,400,,USB3.2 (gen1),34,60,9.5,14,1,"USB-A, USB-C",
SSD,エレコム,,EL,EF,500,ESD-EF0500GBK,10299,2020-05-07,,https://www.amazon.co.jp/dp/B07WPSQ4GJ,430,400,,USB3.2 (gen1),34,60,9.5,14,1,"USB-A, USB-C",
SSD,エレコム,,EL,EF,1000,ESD-EF1000GBK,17980,2020-05-07,,https://www.amazon.co.jp/dp/B07X3G1QF7,430,400,,USB3.2 (gen1),34,60,9.5,14,1,"USB-A, USB-C",
